flight_id,scheduled_departure,departure_airport,arrival_airport,aircraft_code,flight_duration_minutes,total_seats,economy_seats_cnt,business_seats_cnt,total_tickets,economy_tickets_cnt,business_tickets_cnt,total_amount,economy_tickets_amount,business_tickets_amount
136485,2017-01-27T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,106,97,9,1520000.00,1190600.00,329400.00
136486,2017-02-02T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,107,99,8,1505400.00,1212600.00,292800.00
136511,2017-02-21T06:10:00Z,AAQ,NOZ,733,310.0,130,118,12,0,0,0,0,0,0
136513,2017-02-28T06:10:00Z,AAQ,NOZ,733,310.0,130,118,12,0,0,0,0,0,0
136514,2017-02-07T06:10:00Z,AAQ,NOZ,733,299.0,130,118,12,0,0,0,0,0,0
136523,2017-01-10T06:10:00Z,AAQ,NOZ,733,312.0,130,118,12,0,0,0,0,0,0
136540,2017-01-17T06:10:00Z,AAQ,NOZ,733,307.0,130,118,12,0,0,0,0,0,0
136544,2017-01-31T06:10:00Z,AAQ,NOZ,733,304.0,130,118,12,0,0,0,0,0,0
136546,2017-01-03T06:10:00Z,AAQ,NOZ,733,302.0,130,118,12,0,0,0,0,0,0
136560,2017-01-24T06:10:00Z,AAQ,NOZ,733,305.0,130,118,12,0,0,0,0,0,0
136567,2017-02-14T06:10:00Z,AAQ,NOZ,733,311.0,130,118,12,0,0,0,0,0,0
136571,2017-01-25T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136586,2017-01-10T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136600,2017-02-08T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136605,2017-02-15T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136609,2017-01-08T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,81,71,10,639300.00,450300.00,189000.00
136612,2017-02-21T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136620,2017-02-17T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,79,70,9,613500.00,443400.00,170100.00
136630,2017-02-25T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136632,2017-01-07T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,91,80,11,714300.00,506400.00,207900.00
136642,2017-01-30T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,64,54,10,531000.00,342000.00,189000.00
136645,2017-01-05T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,82,73,9,633000.00,462900.00,170100.00
136649,2017-01-18T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136654,2017-01-19T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136660,2017-02-20T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,87,77,10,677100.00,488100.00,189000.00
136661,2017-01-01T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136666,2017-02-09T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,78,9,664500.00,494400.00,170100.00
136669,2017-01-17T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136672,2017-02-03T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136678,2017-01-28T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,80,70,10,631200.00,442200.00,189000.00
136706,2017-01-06T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,84,11,740100.00,532200.00,207900.00
136709,2017-01-15T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,76,11,689700.00,481800.00,207900.00
136720,2017-01-26T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136729,2017-01-29T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,88,77,11,695400.00,487500.00,207900.00
136733,2017-01-09T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136754,2017-02-06T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,90,78,12,721200.00,494400.00,226800.00
136755,2017-01-21T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136757,2017-01-27T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136758,2017-01-12T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136767,2017-01-23T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,83,73,10,651300.00,462300.00,189000.00
136769,2017-02-10T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,88,77,11,696000.00,488100.00,207900.00
136778,2017-02-22T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136780,2017-02-24T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,89,77,12,714900.00,488100.00,226800.00
136781,2017-01-14T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136802,2017-02-26T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,85,11,746400.00,538500.00,207900.00
136807,2017-02-23T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,68,60,8,531000.00,379800.00,151200.00
136815,2017-02-19T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136819,2017-01-04T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136823,2017-02-05T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,78,68,10,620400.00,431400.00,189000.00
136827,2017-02-18T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136838,2017-01-24T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,86,76,10,670200.00,481200.00,189000.00
136841,2017-02-07T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136844,2017-02-28T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,79,73,6,575100.00,461700.00,113400.00
136855,2017-01-11T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,75,12,702300.00,475500.00,226800.00
136857,2017-02-13T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136861,2017-02-12T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,87,76,11,689100.00,481200.00,207900.00
136869,2017-01-31T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136871,2017-01-13T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136875,2017-02-16T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136887,2017-01-20T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,78,70,8,595200.00,444000.00,151200.00
136888,2017-02-14T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,79,69,10,626100.00,437100.00,189000.00
136900,2017-02-01T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136907,2017-01-16T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136922,2017-02-11T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,76,66,10,607800.00,418800.00,189000.00
136927,2017-01-22T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136936,2017-01-02T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,82,73,9,632400.00,462300.00,170100.00
136937,2017-01-03T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,81,72,9,626100.00,456000.00,170100.00
136951,2017-02-02T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,90,78,12,720600.00,493800.00,226800.00
136953,2017-02-27T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136956,2017-02-04T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,85,11,746400.00,538500.00,207900.00
